intention_en,intention_ar,keywords
book_of_dead,كتاب الموتى,"spell,chapter,going,forth,day,light,transform,become,bird,snake,lotus,scarab,heart,soul,ba,ka,akh,protect,guard,ward,evil,enemy,justified"
pyramid_text,نصوص الأهرام,"king,ascend,heaven,sky,star,imperishable,sun,Ra,Osiris,Horus,Seth,Nut,Geb,Shu,eternal,live,forever,spiral,stairway,ladder,ferry,boat,barque"
coffin_text,نصوص التوابيت,"spell,protect,guard,transform,become,travel,journey,underworld,field,reeds,offerings,abundance,eternal,forever,justified,true,voice,pure,clean"
opening_mouth,فتح الفم,"open,mouth,eye,ear,nose,breathe,speak,see,hear,smell,eat,drink,restore,revive,spirit,soul,live,eternal,forever,priest,ritual,ceremony,statue,mummy"
creation_myth,أسطورة الخلق,"create,form,make,bring,forth,exist,primordial,water,Nun,chaos,darkness,light,sun,rise,first,time,Atum,Khepri,Ra,lotus,egg,word,command"
solar_myth,أسطورة الشمس,"sun,Ra,rise,shine,light,illuminate,heaven,sky,horizon,east,west,day,night,boat,barque,journey,travel,morning,evening,transform,Khepri,Atum"
osiris_myth,أسطورة أوزيريس,"Osiris,Isis,Horus,Seth,murder,kill,scatter,search,find,gather,revive,resurrect,rule,underworld,judge,dead,eternal,lord,west,justified"
horus_myth,أسطورة حورس,"Horus,falcon,sky,king,Eye,restore,heal,injured,Seth,battle,fight,victory,avenge,father,Osiris,protect,Egypt,throne,rule,reign,divine"
divine_birth,الميلاد الإلهي,"born,birth,mother,father,divine,king,god,son,daughter,Ra,Amun,royal,great,beautiful,perfect,chosen,beloved,eternal,crown,throne"
divine_marriage,الزواج الإلهي,"unite,join,love,beloved,beautiful,embrace,together,husband,wife,divine,eternal,forever,joy,happiness,peace,harmony,two,become,one"
divine_coronation,تتويج إلهي,"crown,throne,ascend,glory,appear,beautiful,great,mighty,powerful,divine,king,god,eternal,forever,beloved,chosen,strong,arm,sword"
nile_flood,فيضان النيل,"Nile,flood,inundation,Hapy,rise,overflow,fertile,black,land,Egypt,abundance,grain,harvest,good,year,rejoice,celebrate,gift,god"
harvest,الحصاد,"harvest,grain,barley,wheat,emmer,reap,cut,gather,collect,abundance,plenty,good,year,rejoice,celebrate,offer,thank,god,temple"
planting,الزراعة والبذر,"plant,sow,seed,field,earth,fertile,cultivate,plow,water,irrigate,grow,green,fresh,new,young,spring,season,abundance,plenty"
sunrise,شروق الشمس,"sun,rise,shine,light,illuminate,morning,dawn,horizon,east,beautiful,gold,golden,bright,warm,life,give,sustain,rejoice,praise"
sunset,غروب الشمس,"sun,set,descend,west,evening,dusk,darkness,night,rest,sleep,journey,underworld,boat,barque,transform,Atum,eternal,return,rise"
seasons,الفصول والمواسم,"season,inundation,growing,harvest,year,month,day,festival,celebrate,ritual,ceremony,offering,temple,priest,king,god"
love,الحب والعاطفة,"love,beloved,beautiful,beauty,sweet,heart,joy,happiness,desire,long,miss,embrace,hold,together,united,devoted,faithful,eternal,forever"
marriage,الزواج,"wife,husband,united,together,beloved,beautiful,sweet,heart,joy,happiness,eternal,forever,devoted,faithful,family,home,house,estate"
family,العائلة والأسرة,"father,mother,son,daughter,brother,sister,wife,husband,family,beloved,beautiful,sweet,heart,joy,happiness,together,united,home,house"
birth,الميلاد,"born,birth,mother,son,daughter,child,new,beautiful,beloved,divine,great,eternal,live,grow,strong,healthy,good,joy,happiness"
parenthood,الأبوة والأمومة,"father,mother,son,daughter,child,beloved,beautiful,sweet,heart,protect,guard,nurture,raise,teach,love,devoted,faithful,eternal"
friendship,الصداقة,"companion,friend,brother,sister,beloved,beautiful,sweet,heart,together,united,devoted,faithful,loyal,true,good,pure,eternal"
grief,الحزن والفقد,"mourn,grieve,weep,cry,tears,miss,loss,death,beloved,beautiful,eternal,forever,remember,name,live,endure,monument,tomb"
wisdom,الحكمة والمعرفة,"know,knowledge,wisdom,understand,learn,teach,scribe,write,read,scroll,book,word,speech,truth,justice,maat,good,beautiful,perfect,divine"
instruction,التعليم والإرشاد,"teach,instruct,advise,counsel,wisdom,knowledge,learn,student,pupil,son,daughter,good,beautiful,true,just,righteous,follow,walk,path"
truth,الحق والعدل,"truth,justice,maat,true,just,righteous,good,beautiful,perfect,divine,eternal,forever,balance,scale,feather,heart,pure,clean,white"
magic,السحر والتعويذة,"magic,spell,incantation,recite,words,power,protect,guard,ward,evil,enemy,demon,disease,heal,cure,restore,divine,sacred,holy,secret"
prophecy,النبوءة والكهانة,"see,vision,dream,foretell,predict,know,future,hidden,secret,divine,sacred,holy,reveal,show,appear,word,truth,eternal,forever"
protection,الحماية والدفاع,"protect,guard,ward,defend,shield,safe,secure,strong,mighty,powerful,divine,sacred,holy,amulet,talisman,spell,magic,eternal,forever"
healing,الشفاء والعلاج,"heal,cure,restore,revive,healthy,strong,good,beautiful,pure,clean,protect,guard,divine,sacred,spell,magic,word,power,eternal"
curse,اللعنة والحرمان,"enemy,evil,darkness,chaos,destroy,smite,defeat,conquer,drive,away,expel,banish,ward,protect,guard,divine,sacred,holy,eternal"
amulet,التميمة والحجاب,"protect,guard,amulet,talisman,sacred,divine,power,ward,evil,enemy,disease,bad,harm,safe,secure,strong,healthy,good,eternal"
purification,التطهير والتنقية,"pure,clean,white,wash,cleanse,purify,water,natron,incense,holy,sacred,divine,perfect,good,beautiful,ritual,ceremony,priest,temple"
temple_ritual,طقوس المعبد,"temple,ritual,ceremony,priest,pure,clean,offer,incense,water,statue,god,goddess,daily,morning,evening,open,close,anoint,clothe,feed"
festival,الأعياد والاحتفالات,"festival,celebrate,rejoice,joy,happiness,music,dance,sing,offering,feast,banquet,temple,priest,king,god,eternal,million,years"
procession,موكب ديني,"procession,carry,boat,barque,statue,god,goddess,temple,festival,celebrate,rejoice,joy,happiness,offering,priest,king,eternal"
consecration,التكريس والتخصيص,"consecrate,dedicate,offer,give,endow,eternal,forever,temple,statue,monument,offering,priest,king,god,sacred,holy,divine,pure"
oracle,الكهانة والتنبؤ,"ask,question,oracle,answer,respond,divine,sacred,holy,god,goddess,reveal,show,truth,justice,maat,know,wisdom,eternal,forever"
battle_cry,نداء المعركة,"fight,battle,war,victory,conquer,defeat,smite,enemy,strong,mighty,powerful,brave,warrior,army,troops,weapon,sword,bow,arrow,spear"
military_campaign,حملة عسكرية,"campaign,march,advance,conquer,defeat,smite,enemy,foreign,land,tribute,captive,prisoner,victory,great,mighty,powerful,king,pharaoh"
triumph,الانتصار والظفر,"triumph,victory,conquer,defeat,smite,enemy,great,mighty,powerful,strong,brave,warrior,glory,honor,praise,eternal,forever,king"
subjugation,الإخضاع والسيطرة,"subdue,conquer,defeat,crush,smite,enemy,foreign,land,tribute,bow,prostrate,surrender,captive,prisoner,bound,fettered,king,pharaoh"
peace_treaty,معاهدة السلام,"peace,treaty,agreement,together,united,brother,good,beautiful,eternal,forever,land,people,king,pharaoh,tribute,gift,exchange"
name,الاسم والهوية,"name,identity,call,known,remember,live,endure,eternal,forever,monument,tomb,statue,inscription,son,daughter,father,mother,beloved"
titles,الألقاب والمناصب,"title,overseer,chief,director,superintendent,scribe,priest,official,noble,hereditary,prince,companion,king,pharaoh,majesty,great,revered"
identity,الهوية والانتماء,"son,daughter,born,father,mother,family,beloved,beautiful,good,pure,clean,true,just,righteous,divine,eternal,name,live,endure"
legacy,الإرث والتركة,"remember,name,live,endure,eternal,forever,monument,tomb,statue,inscription,son,daughter,beloved,praised,honored,revered,good,beautiful"
fame,الشهرة والمجد,"famous,renowned,praised,honored,revered,beloved,great,mighty,powerful,divine,sacred,eternal,forever,name,live,endure,monument,glory"
egypt,مصر وأرضها,"Egypt,black,land,red,land,north,south,upper,lower,unite,two,lands,fertile,Nile,flood,abundance,good,beautiful,eternal,forever,king"
temple_place,المعبد والمكان المقدس,"temple,shrine,chapel,house,god,goddess,sacred,holy,divine,pure,clean,eternal,forever,offering,priest,ritual,ceremony,worship"
tomb_place,القبر والمقبرة,"tomb,burial,west,necropolis,eternal,house,beautiful,good,pure,clean,revered,honored,justified,true,voice,offering,eternal,forever"
city,المدينة والمستوطنة,"city,town,village,nome,district,province,people,inhabitants,ruler,governor,official,temple,palace,estate,field,abundant,good"
foreign_land,الأرض الأجنبية,"foreign,land,enemy,tribute,gold,silver,goods,captive,prisoner,conquer,defeat,strong,mighty,powerful,king,pharaoh,eternal"
eternity,الأبدية والخلود,"eternal,forever,million,years,endure,live,name,remember,monument,tomb,statue,good,beautiful,divine,sacred,holy,ka,ba,akh,spirit"
time,الزمن والوقت,"year,month,day,hour,season,inundation,growing,harvest,festival,celebrate,eternal,forever,endure,live,name,remember,good,beautiful"
new_year,العام الجديد,"new,year,inundation,Nile,flood,rise,overflow,fertile,black,land,abundance,good,beautiful,celebrate,festival,rejoice,joy,happiness"
rebirth,التجدد والبعث,"renew,rejuvenate,reborn,rise,shine,live,eternal,forever,sun,Ra,lotus,scarab,transform,become,spirit,soul,ba,ka,akh,good,beautiful"
cycles,الدورات الكونية,"cycle,eternal,forever,sun,rise,set,moon,wax,wane,star,season,inundation,harvest,year,renew,rejuvenate,reborn,transform,become"
cosmic_order,النظام الكوني,"order,balance,harmony,truth,justice,maat,good,beautiful,perfect,divine,sacred,eternal,forever,sun,moon,star,heaven,earth,Nile"
chaos,الفوضى والخراب,"chaos,disorder,evil,darkness,enemy,destroy,smite,ward,protect,guard,divine,sacred,eternal,sun,truth,justice,maat,restore,order"
creation,الخلق والتكوين,"create,form,make,bring,forth,exist,primordial,water,chaos,darkness,light,word,command,divine,sacred,eternal,forever,sun,Ra"
heaven,السماء والملكوت,"heaven,sky,star,sun,moon,eternal,forever,ascend,rise,shine,light,divine,sacred,holy,king,god,spirit,soul,ba,ka,akh,imperishable"
underworld,العالم السفلي,"underworld,west,evening,darkness,night,journey,travel,boat,barque,Osiris,Horus,Seth,judgment,tribunal,justify,eternal,forever"
joy,الفرح والسرور,"joy,happiness,rejoice,celebrate,glad,pleased,satisfied,content,good,beautiful,sweet,pleasant,beloved,perfect,pure,divine,blessed"
sorrow,الحزن والألم,"sorrow,grief,mourn,weep,cry,tears,pain,suffering,loss,death,darkness,evil,enemy,bad,harm,hurt,alone,abandoned,forgotten"
anger,الغضب والسخط,"angry,wrath,fury,rage,smite,destroy,punish,enemy,evil,darkness,chaos,divine,sacred,powerful,mighty,strong,king,god,eternal"
fear,الخوف والرهبة,"fear,awe,terror,tremble,bow,prostrate,revere,honor,respect,great,mighty,powerful,divine,sacred,holy,king,god,eternal,forever"
desire,الرغبة والأمنية,"desire,wish,want,hope,long,love,beloved,beautiful,sweet,heart,joy,happiness,divine,sacred,eternal,forever,good,perfect,pure"
gratitude,الامتنان والشكر,"thank,grateful,gratitude,praise,give,grant,favor,beloved,blessed,fortunate,happy,joy,gladness,good,beautiful,perfect,peace"
devotion,التفاني والإخلاص,"devoted,faithful,loyal,true,love,beloved,beautiful,sweet,heart,serve,worship,adore,praise,divine,sacred,eternal,forever"
justice,العدالة والإنصاف,"justice,truth,maat,righteous,good,beautiful,perfect,divine,sacred,eternal,forever,judge,tribunal,heart,feather,balance,scale"
law,القانون والشريعة,"law,decree,command,order,justice,truth,maat,righteous,good,beautiful,perfect,divine,sacred,eternal,forever,king,pharaoh,judge"
taxation,الضريبة والجباية,"tax,tribute,levy,collect,grain,gold,silver,cattle,field,estate,nome,district,official,overseer,scribe,record,account"
administration,الإدارة والحكم,"overseer,chief,director,official,scribe,record,account,report,govern,rule,manage,administer,nome,district,province,estate"
trade,التجارة والمقايضة,"trade,barter,exchange,buy,sell,goods,gold,silver,copper,grain,linen,wood,stone,exotic,foreign,land,tribute,gift,merchant"
water,الماء والنهر,"water,Nile,flood,river,canal,pool,lake,sea,great,green,Mediterranean,wave,flow,stream,pour,libation,cool,refresh,abundant,eternal"
fire,النار والضوء,"fire,flame,burn,light,illuminate,shine,bright,warm,heat,sun,Ra,morning,glory,divine,sacred,power,destroy,purify,holy,eternal"
earth,الأرض والتراب,"earth,land,ground,soil,fertile,black,red,desert,sand,stone,rock,mountain,valley,field,grow,plant,cultivate,abundant,good"
air,الهواء والنسيم,"air,wind,breath,breeze,Shu,cool,refresh,life,give,sustain,breathe,light,feather,heaven,sky,eternal,divine,sacred,spirit,soul"
sky,السماء والفضاء,"sky,heaven,star,sun,moon,eternal,forever,ascend,rise,shine,light,divine,sacred,holy,king,god,falcon,bird,Horus,Nut,Geb"
sacred_animals,الحيوانات المقدسة,"sacred,divine,holy,bull,Apis,ram,falcon,ibis,crocodile,scarab,cobra,vulture,cat,jackal,Anubis,Thoth,Ra,Horus,protect"
falcon,الصقر والنسر,"falcon,soar,fly,sky,heaven,divine,king,Horus,Ra,protect,guard,strong,mighty,powerful,great,eternal,forever,sun,light,glory"
lion,الأسد والرمز,"lion,strong,mighty,powerful,great,divine,sacred,protect,guard,king,Sekhmet,Aker,eternal,forever,sun,Ra,glory,honor,praise"
serpent,الثعبان والأفعى,"serpent,snake,cobra,protect,guard,crown,uraeus,divine,sacred,holy,power,magic,ward,evil,enemy,eternal,forever,king,pharaoh"
scarab,الجعران والتجدد,"scarab,Khepri,transform,become,renew,rejuvenate,reborn,rise,shine,sun,morning,eternal,forever,good,beautiful,divine,sacred"
ka_soul,الروح الكا,"ka,soul,spirit,double,life,protect,guard,sustain,nourish,eternal,forever,offering,bread,beer,pure,clean,divine,sacred,holy"
ba_soul,الروح البا,"ba,soul,spirit,bird,fly,travel,journey,return,body,tomb,eternal,forever,protect,guard,divine,sacred,holy,pure,clean,good"
akh_spirit,الروح الآخ,"akh,spirit,effective,powerful,glorified,justified,divine,sacred,eternal,forever,star,imperishable,heaven,sky,rise,shine,light"
heart,القلب والعقل,"heart,mind,think,know,understand,love,desire,feel,judge,balance,scale,feather,truth,justice,maat,pure,clean,good,beautiful"
body,الجسد والبدن,"body,flesh,bone,limb,head,face,eye,ear,nose,mouth,arm,hand,leg,foot,strong,healthy,beautiful,good,pure,clean,eternal"
lotus,زهرة اللوتس,"lotus,blue,white,flower,bloom,rise,emerge,water,pool,lake,new,morning,birth,creation,pure,clean,beautiful,good,divine,eternal"
papyrus,نبات البردي,"papyrus,green,fresh,grow,marsh,delta,north,lower,Egypt,write,scroll,book,record,wisdom,knowledge,eternal,forever,good"
palm,شجرة النخيل,"palm,tree,year,million,years,eternal,forever,count,record,time,festival,celebrate,king,god,divine,sacred,holy,good,beautiful"
sycamore,شجرة الجميز,"sycamore,tree,shade,cool,refresh,fruit,sustain,nourish,Hathor,divine,sacred,west,necropolis,eternal,forever,good,beautiful"
vine,الكرمة والعنب,"vine,grape,wine,vineyard,abundant,good,beautiful,sweet,pleasant,feast,banquet,offering,temple,festival,celebrate,rejoice,joy"
ankh,رمز الحياة عنخ,"life,live,eternal,forever,breath,air,good,beautiful,divine,sacred,holy,give,grant,sustain,nourish,protect,guard,strong,healthy"
djed,عمود الجد,"stability,endure,eternal,forever,backbone,Osiris,strong,steadfast,firm,establish,found,good,beautiful,divine,sacred,holy,king"
was_scepter,صولجان الواس,"power,dominion,scepter,divine,sacred,holy,king,god,strong,mighty,powerful,rule,govern,reign,eternal,forever,good,beautiful"
eye_of_horus,عين حورس,"Eye,Horus,restored,healed,whole,complete,perfect,good,beautiful,pure,clean,protect,guard,ward,evil,divine,sacred,eternal"
cartouche,الكارتوش الملكي,"king,name,royal,eternal,forever,protect,guard,live,endure,beloved,great,mighty,powerful,divine,sacred,son,Ra,Amun"
gold,الذهب والثروة,"gold,golden,bright,shine,light,divine,sacred,eternal,forever,beautiful,good,perfect,pure,clean,king,pharaoh,god,Ra,sun"
lapis,اللازورد والسماء,"lapis,lazuli,blue,heaven,sky,divine,sacred,holy,eternal,forever,beautiful,good,perfect,pure,clean,king,god,Ra,night,star"
white,اللون الأبيض والنقاء,"white,pure,clean,bright,light,good,beautiful,perfect,divine,sacred,eternal,forever,crown,linen,limestone,alabaster,truth"
red,اللون الأحمر,"red,blood,fire,enemy,danger,Seth,desert,heat,power,strength,warrior,battle,victory,crown,lower,Egypt,sacred,divine"
green,اللون الأخضر,"green,fresh,new,young,growth,Osiris,life,eternal,forever,fertile,abundant,good,beautiful,malachite,turquoise,papyrus,vegetation"
abundance,الوفرة والخير,"abundance,plenty,fertile,good,year,harvest,grain,cattle,gold,silver,everything,good,beautiful,pure,clean,rejoice,celebrate"
health,الصحة والعافية,"health,strong,healthy,good,beautiful,perfect,pure,clean,live,eternal,forever,protect,guard,divine,sacred,spell,magic,ward"
prosperity,الرخاء والازدهار,"prosperous,flourish,abundant,good,beautiful,perfect,pure,clean,live,eternal,forever,divine,sacred,holy,king,god,blessing"
peace,السلام والأمان,"peace,harmony,balance,truth,justice,maat,good,beautiful,perfect,divine,sacred,eternal,forever,united,together,beloved,blessed"
strength,القوة والجبروت,"strong,mighty,powerful,great,divine,sacred,eternal,forever,king,pharaoh,god,Ra,Amun,Horus,arm,sword,victory,conquer"
beauty,الجمال والرونق,"beautiful,good,perfect,pure,clean,bright,shine,light,divine,sacred,eternal,forever,beloved,joy,happiness,sweet,pleasant"
purification_ritual,طقس التطهير,"pure,clean,white,wash,cleanse,purify,water,natron,incense,holy,sacred,divine,perfect,ritual,ceremony,priest,temple,wab"
sacred_space,المكان المقدس,"sacred,holy,divine,temple,shrine,chapel,house,god,goddess,inner,sanctuary,eternal,forever,pure,clean,offering,priest"
divine_protection,الحماية الإلهية,"protect,guard,divine,sacred,holy,god,goddess,Ra,Amun,Horus,Isis,Osiris,amulet,spell,magic,ward,evil,enemy,eternal"
royal_protection,الحماية الملكية,"king,pharaoh,protect,guard,strong,mighty,powerful,divine,sacred,eternal,forever,Egypt,people,land,Nile,good,beautiful"
